iter	Passed	Remaining
0	36	36868
1	102	51035
2	141	47069
3	172	42988
4	247	49279
5	308	51182
6	349	49515
7	397	49322
8	444	48950
9	487	48234
10	531	47777
11	578	47665
12	617	46913
13	655	46161
14	708	46544
15	738	45426
16	752	43492
17	765	41750
18	778	40196
19	792	38812
20	827	38591
21	863	38372
22	876	37242
23	902	36712
24	935	36503
25	951	35640
26	997	35940
27	1014	35202
28	1027	34395
29	1039	33616
30	1051	32878
31	1062	32151
32	1074	31498
33	1087	30897
34	1100	30330
35	1111	29756
36	1124	29262
37	1136	28760
38	1156	28494
39	1168	28039
40	1180	27602
41	1192	27188
42	1205	26839
43	1217	26451
44	1228	26072
45	1242	25764
46	1256	25467
47	1267	25143
48	1279	24829
49	1290	24525
50	1303	24247
51	1325	24168
52	1337	23903
53	1350	23653
54	1362	23409
55	1374	23164
56	1386	22942
57	1398	22721
58	1410	22497
59	1422	22279
60	1434	22084
61	1447	21904
62	1459	21703
63	1471	21514
64	1489	21429
65	1501	21251
66	1515	21101
67	1526	20923
68	1538	20755
69	1549	20587
70	1562	20450
71	1574	20290
72	1587	20154
73	1598	20008
74	1610	19861
75	1622	19722
76	1635	19606
77	1657	19597
78	1672	19501
79	1687	19400
80	1699	19282
81	1712	19174
82	1723	19045
83	1738	18962
84	1750	18841
85	1762	18732
86	1778	18659
87	1792	18575
88	1805	18485
89	1829	18497
90	1843	18410
91	1856	18319
92	1870	18241
93	1883	18152
94	1896	18065
95	1910	17987
96	1929	17964
97	1948	17937
98	1967	17908
99	1995	17962
100	2012	17910
101	2060	18138
102	2099	18285
103	2118	18254
104	2170	18497
105	2185	18431
106	2201	18374
107	2216	18309
108	2232	18249
109	2248	18190
110	2264	18135
111	2283	18107
112	2300	18058
113	2328	18094
114	2352	18107
115	2371	18073
116	2391	18045
117	2422	18103
118	2439	18062
119	2455	18006
120	2482	18036
121	2498	17979
122	2517	17952
123	2530	17879
124	2544	17813
125	2558	17749
126	2574	17697
127	2588	17635
128	2606	17599
129	2619	17533
130	2646	17555
131	2659	17485
132	2671	17417
133	2690	17386
134	2704	17330
135	2718	17270
136	2769	17446
137	2815	17586
138	2833	17552
139	2845	17480
140	2859	17421
141	2871	17351
142	2884	17285
143	2897	17225
144	2910	17161
145	2922	17094
146	2935	17035
147	2953	17002
148	2982	17035
149	2999	16995
150	3012	16939
151	3024	16872
152	3037	16816
153	3049	16752
154	3061	16689
155	3072	16623
156	3084	16564
157	3098	16510
158	3109	16447
159	3121	16387
160	3140	16365
161	3152	16308
162	3164	16251
163	3176	16193
164	3187	16131
165	3199	16074
166	3212	16021
167	3224	15968
168	3236	15914
169	3248	15858
170	3283	15918
171	3315	15962
172	3332	15928
173	3347	15891
174	3361	15847
175	3375	15805
176	3389	15759
177	3403	15715
178	3415	15663
179	3436	15657
180	3450	15611
181	3465	15575
182	3479	15535
183	3497	15510
184	3515	15488
185	3529	15444
186	3543	15407
187	3560	15377
188	3595	15426
189	3613	15403
190	3645	15442
191	3663	15416
192	3676	15372
193	3689	15328
194	3704	15293
195	3719	15258
196	3732	15214
197	3768	15263
198	3793	15268
199	3811	15247
200	3829	15221
201	3877	15318
202	3893	15287
203	3914	15272
204	3939	15278
205	3958	15257
206	3972	15217
207	3986	15181
208	4000	15142
209	4012	15093
210	4026	15058
211	4041	15020
212	4054	14980
213	4071	14953
214	4136	15101
215	4154	15078
216	4168	15040
217	4187	15019
218	4202	14987
219	4217	14953
220	4232	14918
221	4246	14880
222	4270	14879
223	4284	14841
224	4296	14799
225	4308	14756
226	4321	14717
227	4334	14678
228	4347	14637
229	4359	14593
230	4371	14554
231	4385	14516
232	4398	14477
233	4419	14466
234	4432	14429
235	4446	14393
236	4457	14351
237	4471	14317
238	4486	14285
239	4500	14250
240	4516	14225
241	4532	14195
242	4546	14162
243	4557	14121
244	4571	14088
245	4596	14089
246	4609	14053
247	4621	14014
248	4636	13982
249	4651	13954
250	4666	13923
251	4681	13896
252	4697	13868
253	4713	13844
254	4728	13813
255	4739	13773
256	4764	13775
257	4778	13742
258	4792	13712
259	4803	13672
260	4819	13645
261	4837	13624
262	4861	13624
263	4880	13606
264	4908	13615
265	4926	13594
266	4946	13580
267	4964	13559
268	4981	13537
269	4998	13514
270	5016	13493
271	5037	13483
272	5052	13454
273	5068	13429
274	5084	13405
275	5100	13380
276	5116	13355
277	5135	13337
278	5164	13347
279	5183	13328
280	5200	13306
281	5217	13283
282	5235	13265
283	5255	13248
284	5284	13256
285	5309	13254
286	5327	13234
287	5341	13204
288	5355	13176
289	5370	13149
290	5384	13119
291	5407	13111
292	5426	13093
293	5445	13075
294	5462	13054
295	5478	13030
296	5494	13005
297	5508	12975
298	5530	12965
299	5544	12936
300	5560	12911
301	5574	12883
302	5591	12861
303	5604	12831
304	5618	12802
305	5633	12775
306	5671	12803
307	5708	12825
308	5730	12815
309	5752	12804
310	5772	12788
311	5792	12772
312	5808	12749
313	5827	12731
314	5839	12698
315	5850	12663
316	5862	12632
317	5878	12607
318	5893	12580
319	5909	12556
320	5924	12532
321	5941	12511
322	5955	12481
323	5970	12456
324	5993	12447
325	6007	12419
326	6019	12389
327	6031	12357
328	6043	12326
329	6055	12293
330	6068	12264
331	6080	12234
332	6091	12201
333	6104	12172
334	6115	12140
335	6126	12107
336	6138	12076
337	6157	12059
338	6168	12028
339	6229	12092
340	6251	12081
341	6266	12056
342	6283	12036
343	6297	12009
344	6309	11978
345	6320	11947
346	6332	11915
347	6343	11884
348	6354	11853
349	6365	11821
350	6376	11790
351	6388	11760
352	6399	11728
353	6420	11715
354	6432	11686
355	6443	11655
356	6454	11625
357	6466	11595
358	6477	11565
359	6488	11535
360	6499	11504
361	6510	11474
362	6522	11444
363	6533	11415
364	6545	11386
365	6562	11368
366	6574	11339
367	6585	11310
368	6597	11282
369	6609	11254
370	6621	11225
371	6634	11200
372	6646	11172
373	6658	11144
374	6679	11132
375	6693	11107
376	6709	11087
377	6724	11064
378	6735	11036
379	6747	11009
380	6759	10981
381	6770	10954
382	6788	10935
383	6819	10939
384	6831	10913
385	6843	10885
386	6855	10858
387	6867	10831
388	6879	10804
389	6891	10778
390	6902	10751
391	6914	10724
392	6926	10697
393	6937	10670
394	6949	10643
395	6961	10617
396	6980	10603
397	6992	10576
398	7003	10549
399	7015	10523
400	7027	10497
401	7039	10472
402	7051	10445
403	7062	10418
404	7073	10392
405	7084	10365
406	7095	10338
407	7107	10312
408	7118	10285
409	7129	10259
410	7140	10233
411	7159	10217
412	7170	10191
413	7181	10164
414	7193	10140
415	7206	10117
416	7218	10091
417	7229	10065
418	7241	10040
419	7252	10015
420	7263	9989
421	7275	9964
422	7286	9939
423	7297	9913
424	7317	9900
425	7328	9874
426	7339	9849
427	7350	9823
428	7362	9799
429	7373	9774
430	7384	9748
431	7395	9723
432	7405	9697
433	7417	9673
434	7427	9647
435	7438	9622
436	7450	9598
437	7461	9573
438	7480	9559
439	7491	9534
440	7502	9510
441	7513	9485
442	7525	9461
443	7536	9437
444	7547	9413
445	7559	9389
446	7570	9365
447	7581	9341
448	7591	9316
449	7603	9293
450	7615	9269
451	7626	9245
452	7643	9229
453	7655	9207
454	7668	9185
455	7680	9162
456	7691	9139
457	7703	9116
458	7716	9094
459	7727	9071
460	7739	9048
461	7751	9026
462	7763	9004
463	7780	8988
464	7806	8981
465	7819	8960
466	7831	8938
467	7842	8915
468	7854	8892
469	7867	8871
470	7878	8848
471	7889	8825
472	7900	8802
473	7912	8780
474	7923	8757
475	7934	8734
476	7945	8711
477	7962	8695
478	7974	8674
479	7986	8651
480	7997	8629
481	8008	8606
482	8019	8584
483	8031	8562
